INSERT INTO employee_address VALUES(1, 'Kazakhstan', 'Astana', 'Pravaya Naberejnaya', '977');
INSERT INTO employee_address VALUES(2, 'Kazakhstan', 'Almaty', 'Tole Bi', '83');
INSERT INTO employee_address VALUES(3, 'Kazakhstan', 'Astana', 'Jeltoksan', '682');
INSERT INTO employee_address VALUES(4, 'Russia', 'Moscow', 'Arbat', '989');
INSERT INTO employee_address VALUES(5, 'Kazakhstan', 'Astana', 'Jeltoksan', '897');
INSERT INTO employee_address VALUES(6, 'Russia', 'Moscow', 'Solyanka', '929');
INSERT INTO employee_address VALUES(7, 'Kazakhstan', 'Astana', 'Kabanbai Batyra', '393');
INSERT INTO employee_address VALUES(8, 'Russia', 'Moscow', 'Tverskaya', '402');
INSERT INTO employee_address VALUES(9, 'Russia', 'Moscow', 'Solyanka', '371');
INSERT INTO employee_address VALUES(10, 'Russia', 'Moscow', 'Tverskaya', '713');
INSERT INTO employee_address VALUES(11, 'Russia', 'Moscow', 'Arbat', '938');
INSERT INTO employee_address VALUES(12, 'China', 'Beijing', 'Xidan', '580');
INSERT INTO employee_address VALUES(13, 'Russia', 'Moscow', 'Tverskaya', '669');
INSERT INTO employee_address VALUES(14, 'Kazakhstan', 'Almaty', 'Abaya', '397');
INSERT INTO employee_address VALUES(15, 'Kazakhstan', 'Almaty', 'Seifullina', '223');
INSERT INTO employee_address VALUES(16, 'Kazakhstan', 'Atyrau', 'Baimukhanova', '351');
INSERT INTO employee_address VALUES(17, 'Russia', 'Moscow', 'Tverskaya', '593');
INSERT INTO employee_address VALUES(18, 'China', 'Beijing', 'Pearl Market', '3');
INSERT INTO employee_address VALUES(19, 'Russia', 'Moscow', 'Solyanka', '906');
INSERT INTO employee_address VALUES(20, 'China', 'Beijing', 'Xidan', '545');
INSERT INTO employee_address VALUES(21, 'Russia', 'Moscow', 'Arbat', '211');
INSERT INTO employee_address VALUES(22, 'Kazakhstan', 'Almaty', 'Abaya', '558');
INSERT INTO employee_address VALUES(23, 'Kazakhstan', 'Astana', 'Kabanbai Batyra', '726');
INSERT INTO employee_address VALUES(24, 'Russia', 'Moscow', 'Solyanka', '61');
INSERT INTO employee_address VALUES(25, 'Russia', 'Moscow', 'Arbat', '671');
INSERT INTO employee_address VALUES(26, 'China', 'Beijing', 'Wangfujing', '181');
INSERT INTO employee_address VALUES(27, 'Kazakhstan', 'Astana', 'Kabanbai Batyra', '960');
INSERT INTO employee_address VALUES(28, 'China', 'Beijing', 'Wangfujing', '896');
INSERT INTO employee_address VALUES(29, 'China', 'Beijing', 'Pearl Market', '555');
INSERT INTO employee_address VALUES(30, 'China', 'Beijing', 'Wangfujing', '844');
INSERT INTO employee_address VALUES(31, 'China', 'Beijing', 'Wangfujing', '515');
INSERT INTO employee_address VALUES(32, 'China', 'Beijing', 'Xidan', '753');
INSERT INTO employee_address VALUES(33, 'China', 'Beijing', 'Xidan', '100');
INSERT INTO employee_address VALUES(34, 'China', 'Beijing', 'Xidan', '947');
INSERT INTO employee_address VALUES(35, 'China', 'Beijing', 'Pearl Market', '575');
INSERT INTO employee_address VALUES(36, 'China', 'Beijing', 'Xidan', '854');
INSERT INTO employee_address VALUES(37, 'Kazakhstan', 'Atyrau', 'Alash', '252');
INSERT INTO employee_address VALUES(38, 'China', 'Beijing', 'Xidan', '356');
INSERT INTO employee_address VALUES(39, 'China', 'Beijing', 'Xidan', '446');
INSERT INTO employee_address VALUES(40, 'Kazakhstan', 'Atyrau', 'Baimukhanova', '181');
INSERT INTO employee_address VALUES(41, 'Kazakhstan', 'Astana', 'Kabanbai Batyra', '879');
INSERT INTO employee_address VALUES(42, 'Russia', 'Moscow', 'Arbat', '997');
INSERT INTO employee_address VALUES(43, 'Kazakhstan', 'Atyrau', 'Baimukhanova', '394');
INSERT INTO employee_address VALUES(44, 'China', 'Beijing', 'Wangfujing', '569');
INSERT INTO employee_address VALUES(45, 'Russia', 'Moscow', 'Tverskaya', '339');
